edges_version;edge_disallow;edge_from;edge_id;edge_numLanes;edge_priority;edge_shape;edge_speed;edge_to;edge_type;lane_index;param_key;param_value
1.9;tram rail_urban rail rail_electric rail_fast ship;7438207045;-795261053#1;1;3;;13.89;7438207050;highway.residential;0;origId;795261053
1.9;tram rail_urban rail rail_electric rail_fast ship;7438207039;-795261058;1;3;3943.70,3812.79 3943.23,3793.41 3941.96,3786.38 3939.65,3781.01 3938.37,3774.65 3939.28,3751.95;13.89;7438207034;highway.residential;0;origId;795261058
1.9;tram rail_urban rail rail_electric rail_fast ship;7438207041;-795261059;1;3;;13.89;7438207040;highway.residential;0;origId;795261059
1.9;tram rail_urban rail rail_electric rail_fast ship;7438207043;-795261060;1;3;;13.89;7438207042;highway.residential;0;origId;795261060
1.9;tram rail_urban rail rail_electric rail_fast ship;7438207050;-795261061;1;3;3676.59,3811.05 3658.62,3809.18 3651.95,3803.43 3648.00,3796.04 3647.78,3752.28;13.89;7438207046;highway.residential;0;origId;795261061
1.9;tram rail_urban rail rail_electric rail_fast ship;308772125;-795261062;1;3;;13.89;7438207051;highway.residential;0;origId;795261062
1.9;tram rail_urban rail rail_electric rail_fast ship;7438207057;-795261065;1;3;;13.89;7438207056;highway.residential;0;origId;795261065
1.9;tram rail_urban rail rail_electric rail_fast ship;7438207070;-795261068;1;3;;13.89;7438207069;highway.residential;0;origId;795261068
1.9;tram rail_urban rail rail_electric rail_fast ship;7438207072;-795261069;1;3;;13.89;7438207071;highway.residential;0;origId;795261069
1.9;tram rail_urban rail rail_electric rail_fast ship;7438207074;-795261070;1;3;;13.89;7438207073;highway.residential;0;origId;795261070
1.9;tram rail_urban rail rail_electric rail_fast ship;7438345154;-795276266;1;3;;13.89;7438345153;highway.residential;0;origId;795276266
1.9;tram rail_urban rail rail_electric rail_fast ship;cluster_459515937_7438345159;-795276267;1;3;4561.01,3450.85 4548.92,3454.65 4543.84,3455.44 4539.29,3454.22 4521.94,3417.27;13.89;7438345155;highway.residential;0;origId;795276267
1.9;tram rail_urban rail rail_electric rail_fast ship;6758748177;-795276268;1;3;4561.68,3609.78 4578.91,3609.05 4582.05,3605.22 4584.06,3598.30 4587.99,3594.10 4595.36,3594.94 4598.03,3599.60 4599.33,3661.33;13.89;7438345160;highway.residential;0;origId;795276268
1.9;tram rail_urban rail rail_electric rail_fast ship;7438345168;-795276269;1;3;;13.89;7438345167;highway.residential;0;origId;795276269
1.9;tram rail_urban rail rail_electric rail_fast ship;7438345222;-795276285;1;3;;13.89;7438345221;highway.residential;0;origId;795276285
1.9;tram rail_urban rail rail_electric rail_fast ship;7438345313;-795276316#0;1;3;;13.89;7438345312;highway.residential;0;origId;795276316
